Sr. No.,Round No.,Period,State,Age,Gender,Average Monthly Income,Educational Qualification,No. of Family Members,No. of Earning members in the family,Occupation of Respondent,Perception on General Economic condition - compared to one year ago,Outlook on General Economic condition - one year ahead,Perception on Employment scenario - compared to one year ago,Outlook on Employment scenario - one year ahead,Perception on Household income - compared to one year ago,Outlook on Household income - one year ahead,Perception on Household spending - compared to one year ago,Outlook on Household spending - one year ahead,Perception on essential spending - compared to one year ago,Outlook on essential spending - one year ahead,Perception on non-essential spending - compared to one year ago,Outlook on non-essential spending - one year ahead,Perception on General prices - compared to one year ago,Outlook on General prices - one year ahead,Perception on Inflation - compared to one year ago,Outlook on Inflation - one year ahead, View on Current Inflation Rate,View on Current Inflation Rate - actual rate for above 16%,View on 1 Year ahead Inflation Rate,View on 1 Year ahead Inflation Rate - actual rate for above 16%,Income Generating Agricultural Land
2073,23,May-2026,Odisha,21 to 29 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Homemaker,Worsened,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Remain The Same,Price Increased More Than Last Year,,11-<12%,,<1%,,No
2074,23,May-2026,Odisha,40 to 59 years,Female,Less than Rs. 5 thousand,5th Std - Below 10th Std,5 and more,1,Homemaker,Remained The Same,Remain The Same,Remained The Same,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Decrease,Price Increased Less Than Last Year,,5-<6%,,<1%,,No
2075,23,May-2026,Odisha,40 to 59 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,5 and more,1,Homemaker,Improved,Remain The Same,Remained The Same,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,20,>=16%,30,No
2076,23,May-2026,Odisha,30 to 39 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,Below 5th Std,3 or 4,1,Homemaker,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Less Than Current Rate,>=16%,20,15-<16%,,No
2077,23,May-2026,Odisha,21 to 29 years,Female,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,5 and more,3,Salaried Employee,Worsened,Remain The Same,Worsened,Remain The Same,Decreased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,9-<10%,,12-<13%,,No
2545,23,May-2026,Odisha,60 years and above,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,1 or 2,1,Retired Person,Worsened,Will Worsen,Worsened,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,10-<11%,,15-<16%,,No
2546,23,May-2026,Odisha,40 to 59 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,Graduate,3 or 4,2,Daily Worker,Worsened,Will Worsen,Worsened,Will Worsen,Decreased,Will Decrease,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,20,>=16%,50,No
2558,23,May-2026,Odisha,60 years and above,Male,Rs 1 lakh and above,5th Std - Below 10th Std,5 and more,3,Retired Person,Worsened,Will Improve,Worsened,Will Worsen,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,8-<9%,,No
2578,23,May-2026,Odisha,60 years and above,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Retired Person,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,8-<9%,,10-<11%,,No
2585,23,May-2026,Odisha,40 to 59 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,3 or 4,2,Retired Person,Improved,Will Improve,Remained The Same,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,7-<8%,,No
2601,23,May-2026,Odisha,21 to 29 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,10th Std - Below 12th Std,1 or 2,1,Self Employed,Worsened,Will Worsen,Worsened,Will Worsen,Remained The Same,Will Decrease,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,7-<8%,,10-<11%,,No
2610,23,May-2026,Odisha,40 to 59 years,Male,Rs 1 lakh and above,5th Std - Below 10th Std,3 or 4,1,Retired Person,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,2-<3%,,3-<4%,,No
2616,23,May-2026,Odisha,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,3 or 4,1,Salaried Employee,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,10-<11%,,15-<16%,,No
2635,23,May-2026,Odisha,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,5 and more,2,Salaried Employee,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,7-<8%,,12-<13%,,No
2655,23,May-2026,Odisha,40 to 59 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,5th Std - Below 10th Std,5 and more,4,Daily Worker,Remained The Same,Will Improve,Remained The Same,Will Worsen,Decreased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,2-<3%,,4-<5%,,No
2706,23,May-2026,Odisha,21 to 29 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,5 and more,2,Homemaker,Worsened,Will Worsen,Worsened,Will Worsen,Decreased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,10-<11%,,>=16%,20,No
2720,23,May-2026,Odisha,30 to 39 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,3 or 4,1,Homemaker,Remained The Same,Will Improve,Worsened,Will Improve,Decreased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,10-<11%,,No
2744,23,May-2026,Odisha,21 to 29 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,Homemaker,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,8-<9%,,10-<11%,,No
2897,23,May-2026,Odisha,30 to 39 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,3 or 4,1,Homemaker,Remained The Same,Will Worsen,Improved,Will Improve,Decreased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,4-<5%,,5-<6%,,No
2898,23,May-2026,Odisha,40 to 59 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,3 or 4,1,Homemaker,Improved,Will Improve,Improved,Will Improve,Decreased,Will Increase,Decreased,Remain The Same,Decreased,Will Decrease,Decreased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,2-<3%,,4-<5%,,No
2899,23,May-2026,Odisha,40 to 59 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,3 or 4,2,Homemaker,Improved,Will Improve,Improved,Will Improve,Increased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Less Than Last Year,Price Increase Less Than Current Rate,2-<3%,,1-<2%,,No
2900,23,May-2026,Odisha,40 to 59 years,Male,Less than Rs. 5 thousand,Below 5th Std,3 or 4,1,Daily Worker,Worsened,Will Worsen,Worsened,Will Improve,Decreased,Will Decrease,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Increase,,Price Increase More Than Current Rate,<1%,,2-<3%,,No
2901,23,May-2026,Odisha,40 to 59 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,Homemaker,Remained The Same,Remain The Same,Improved,Will Improve,Remained The Same,Will Increase,Increased,Remain The Same,Increased,Will Increase,Increased,Remain The Same,Increased,Remain The Same,Price Increased Similar To Last Year,,3-<4%,,<1%,,No
2902,23,May-2026,Odisha,21 to 29 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,5 and more,3,Self Employed,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,2-<3%,,3-<4%,,No
2903,23,May-2026,Odisha,60 years and above,Male,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,3 or 4,1,Self Employed,Improved,Remain The Same,Improved,Will Improve,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,9-<10%,,10-<11%,,No
2904,23,May-2026,Odisha,21 to 29 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,3 or 4,3,Salaried Employee,Worsened,Will Improve,Improved,Remain The Same,Decreased,Will Increase,Decreased,Remain The Same,Remained The Same,Remain The Same,Decreased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,4-<5%,,5-<6%,,No
2928,23,May-2026,Odisha,30 to 39 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,10th Std - Below 12th Std,5 and more,2,Daily Worker,Worsened,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,7-<8%,,No
2929,23,May-2026,Odisha,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Illiterate,5 and more,2,Daily Worker,Remained The Same,Remain The Same,Remained The Same,Will Worsen,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,10-<11%,,No
2930,23,May-2026,Odisha,21 to 29 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,12th Std,3 or 4,1,"Others (Incl. Unemployed, students, etc.)",Remained The Same,Will Worsen,Worsened,Will Worsen,Decreased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,7-<8%,,10-<11%,,No
2931,23,May-2026,Odisha,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,Self Employed,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,3-<4%,,5-<6%,,No
2933,23,May-2026,Odisha,21 to 29 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,5 and more,3,Homemaker,Improved,Will Improve,Remained The Same,Will Improve,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,6-<7%,,No
2934,23,May-2026,Odisha,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,5 and more,1,Self Employed,Remained The Same,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,9-<10%,,15-<16%,,No
2935,23,May-2026,Odisha,40 to 59 years,Female,Less than Rs. 5 thousand,5th Std - Below 10th Std,3 or 4,1,Homemaker,Remained The Same,Remain The Same,Worsened,Remain The Same,Decreased,Will Decrease,Increased,Will Increase,Increased,Will Increase,Increased,Will Decrease,Increased,Remain The Same,Price Increased More Than Last Year,,4-<5%,,<1%,,No
2936,23,May-2026,Odisha,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Below 5th Std,3 or 4,1,Self Employed,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Remain The Same,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,4-<5%,,4-<5%,,No
2937,23,May-2026,Odisha,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,5 and more,1,Self Employed,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Similar To Current Rate,5-<6%,,5-<6%,,No
2938,23,May-2026,Odisha,30 to 39 years,Female,Less than Rs. 5 thousand,10th Std - Below 12th Std,5 and more,1,Homemaker,Improved,Will Improve,Remained The Same,Will Improve,Increased,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,4-<5%,,6-<7%,,No
2939,23,May-2026,Odisha,60 years and above,Male,Rs. 10 thousand - Less than Rs. 25 thousand,12th Std,5 and more,2,"Others (Incl. Unemployed, students, etc.)",Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,25,>=16%,35,No
2940,23,May-2026,Odisha,60 years and above,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,3 or 4,3,Salaried Employee,Worsened,Will Worsen,Remained The Same,Will Worsen,Remained The Same,Remain The Same,Remained The Same,Will Decrease,Increased,Remain The Same,Remained The Same,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,20,>=16%,30,No
2941,23,May-2026,Odisha,21 to 29 years,Male,Rs. 50 thousand - Less than Rs. 1 lakh,Graduate,5 and more,2,"Others (Incl. Unemployed, students, etc.)",Worsened,Will Worsen,Remained The Same,Will Worsen,Decreased,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,8-<9%,,10-<11%,,No
2942,23,May-2026,Odisha,40 to 59 years,Male,Rs. 50 thousand - Less than Rs. 1 lakh,12th Std,3 or 4,1,Self Employed,Worsened,Will Worsen,Worsened,Will Worsen,Decreased,Will Decrease,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,9-<10%,,14-<15%,,No
2943,23,May-2026,Odisha,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,3 or 4,1,Self Employed,Remained The Same,Will Worsen,Remained The Same,Will Worsen,Remained The Same,Will Decrease,Increased,Remain The Same,Increased,Will Increase,Decreased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,9-<10%,,10-<11%,,No
2944,23,May-2026,Odisha,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,3 or 4,1,"Others (Incl. Unemployed, students, etc.)",Improved,Will Improve,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase More Than Current Rate,7-<8%,,8-<9%,,No
2945,23,May-2026,Odisha,30 to 39 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,5 and more,2,Self Employed,Remained The Same,Will Improve,Remained The Same,Will Worsen,Remained The Same,Remain The Same,Remained The Same,Will Increase,Remained The Same,Will Increase,Remained The Same,Remain The Same,Increased,Will Decrease,Price Increased Similar To Last Year,,2-<3%,,<1%,,No
2970,23,May-2026,Odisha,40 to 59 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,Below 5th Std,5 and more,1,Homemaker,Worsened,Will Improve,Worsened,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,5-<6%,,6-<7%,,No
2971,23,May-2026,Odisha,40 to 59 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,Below 5th Std,5 and more,2,Homemaker,Remained The Same,Will Improve,Remained The Same,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased Similar To Last Year,Price Increase Less Than Current Rate,9-<10%,,4-<5%,,No
2972,23,May-2026,Odisha,30 to 39 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,3 or 4,1,Homemaker,Worsened,Will Worsen,Worsened,Will Improve,Decreased,Will Increase,Increased,Will Increase,Increased,Will Increase,Decreased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,8-<9%,,8-<9%,,Yes
2973,23,May-2026,Odisha,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,3 or 4,1,Self Employed,Improved,Will Improve,Remained The Same,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,11-<12%,,11-<12%,,Yes
2974,23,May-2026,Odisha,60 years and above,Male,Rs. 5 thousand - Less than Rs. 10 thousand,Below 5th Std,3 or 4,1,Self Employed,Remained The Same,Will Improve,Remained The Same,Will Improve,Decreased,Will Increase,Decreased,Will Increase,Remained The Same,Will Increase,Decreased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Less Than Current Rate,>=16%,70,10-<11%,,No
2975,23,May-2026,Odisha,60 years and above,Male,Less than Rs. 5 thousand,5th Std - Below 10th Std,3 or 4,1,Self Employed,Worsened,Will Improve,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,12-<13%,,12-<13%,,Yes
2976,23,May-2026,Odisha,40 to 59 years,Male,Less than Rs. 5 thousand,10th Std - Below 12th Std,5 and more,1,Self Employed,Improved,Will Improve,Improved,Will Improve,Remained The Same,Remain The Same,Remained The Same,Remain The Same,Remained The Same,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Less Than Current Rate,10-<11%,,5-<6%,,Yes
2977,23,May-2026,Odisha,40 to 59 years,Female,Less than Rs. 5 thousand,5th Std - Below 10th Std,3 or 4,1,Homemaker,Remained The Same,Remain The Same,Remained The Same,Will Improve,Remained The Same,Will Increase,Increased,Remain The Same,Increased,Remain The Same,Increased,Remain The Same,Increased,Will Decrease,Price Increased More Than Last Year,,>=16%,70,<1%,,Yes
2978,23,May-2026,Odisha,40 to 59 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,5 and more,1,Homemaker,Worsened,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Less Than Current Rate,11-<12%,,5-<6%,,Yes
2979,23,May-2026,Odisha,21 to 29 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,Graduate,3 or 4,2,"Others (Incl. Unemployed, students, etc.)",Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,7-<8%,,7-<8%,,Yes
2980,23,May-2026,Odisha,40 to 59 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,Below 5th Std,3 or 4,2,Homemaker,Remained The Same,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Decreased,Will Decrease,Increased,Remain The Same,Price Increased More Than Last Year,,4-<5%,,<1%,,No
2981,23,May-2026,Odisha,40 to 59 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,3 or 4,1,Homemaker,Worsened,Remain The Same,Remained The Same,Remain The Same,Decreased,Will Increase,Increased,Remain The Same,Increased,Will Increase,Decreased,Remain The Same,Increased,Remain The Same,Price Increased More Than Last Year,,9-<10%,,<1%,,No
2982,23,May-2026,Odisha,30 to 39 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,Below 5th Std,3 or 4,1,Homemaker,Improved,Will Improve,Improved,Will Improve,Decreased,Will Increase,Decreased,Remain The Same,Decreased,Remain The Same,Decreased,Will Decrease,Increased,Will Increase,Price Increased Less Than Last Year,Price Increase Similar To Current Rate,9-<10%,,9-<10%,,No
3129,23,May-2026,Odisha,30 to 39 years,Female,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,2,Homemaker,Improved,Will Improve,Improved,Will Improve,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,3-<4%,,6-<7%,,Yes
3130,23,May-2026,Odisha,40 to 59 years,Female,Less than Rs. 5 thousand,5th Std - Below 10th Std,1 or 2,1,Homemaker,Worsened,Will Improve,Improved,Will Improve,Decreased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Decrease,Price Increased More Than Last Year,,4-<5%,,<1%,,No
3131,23,May-2026,Odisha,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,Graduate,1 or 2,2,Salaried Employee,Improved,Will Improve,Remained The Same,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,4-<5%,,7-<8%,,Yes
3317,23,May-2026,Odisha,30 to 39 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,Below 5th Std,5 and more,1,Homemaker,Improved,Will Improve,Worsened,Will Improve,Decreased,Will Decrease,Increased,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Remain The Same,Price Increased More Than Last Year,,4-<5%,,<1%,,No
3318,23,May-2026,Odisha,30 to 39 years,Female,Less than Rs. 5 thousand,Below 5th Std,3 or 4,1,Homemaker,Worsened,Will Improve,Improved,Remain The Same,Decreased,Will Increase,Increased,Will Increase,Increased,Will Increase,Remained The Same,Will Decrease,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Less Than Current Rate,10-<11%,,5-<6%,,No
3319,23,May-2026,Odisha,21 to 29 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,5 and more,1,Homemaker,Worsened,Will Worsen,Remained The Same,Remain The Same,Increased,Remain The Same,Increased,Remain The Same,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,20,>=16%,35,Yes
3320,23,May-2026,Odisha,60 years and above,Male,Rs. 5 thousand - Less than Rs. 10 thousand,5th Std - Below 10th Std,5 and more,1,Daily Worker,Worsened,Will Worsen,Worsened,Will Worsen,Decreased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Remained The Same,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,10-<11%,,15-<16%,,No
3530,23,May-2026,Odisha,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,5 and more,2,Daily Worker,Improved,Will Improve,Improved,Will Improve,Remained The Same,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,3-<4%,,5-<6%,,No
3531,23,May-2026,Odisha,40 to 59 years,Male,Rs. 25 thousand - Less than Rs. 50 thousand,Graduate,5 and more,1,Self Employed,Worsened,Will Worsen,Worsened,Will Worsen,Remained The Same,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,>=16%,30,>=16%,60,Yes
3532,23,May-2026,Odisha,40 to 59 years,Female,Rs. 5 thousand - Less than Rs. 10 thousand,Illiterate,3 or 4,1,Homemaker,Worsened,Remain The Same,Remained The Same,Remain The Same,Decreased,Will Increase,Increased,Will Increase,Increased,Will Increase,Decreased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,2-<3%,,3-<4%,,No
3533,23,May-2026,Odisha,40 to 59 years,Male,Rs. 5 thousand - Less than Rs. 10 thousand,Graduate,1 or 2,1,Self Employed,Worsened,Will Worsen,Worsened,Will Worsen,Decreased,Will Decrease,Increased,Will Increase,Increased,Will Increase,Decreased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,15-<16%,,>=16%,50,No
3534,23,May-2026,Odisha,60 years and above,Male,Rs. 10 thousand - Less than Rs. 25 thousand,5th Std - Below 10th Std,3 or 4,1,Retired Person,Improved,Will Improve,Remained The Same,Remain The Same,Increased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,9-<10%,,12-<13%,,No
3535,23,May-2026,Odisha,40 to 59 years,Male,Rs. 10 thousand - Less than Rs. 25 thousand,Graduate,3 or 4,1,Salaried Employee,Worsened,Will Worsen,Worsened,Remain The Same,Remained The Same,Remain The Same,Increased,Remain The Same,Increased,Remain The Same,Increased,Remain The Same,Increased,Will Increase,Price Increased More Than Last Year,Price Increase Similar To Current Rate,>=16%,40,>=16%,40,No
3536,23,May-2026,Odisha,60 years and above,Male,Rs. 5 thousand - Less than Rs. 10 thousand,12th Std,5 and more,1,Daily Worker,Improved,Will Improve,Improved,Will Improve,Decreased,Remain The Same,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Increased,Will Increase,Price Increased More Than Last Year,Price Increase More Than Current Rate,6-<7%,,7-<8%,,No
